Train: 3872 Test: 968

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 233: train 1.5552e-02 | val 3.6869e-02
Epoch 234: train 1.5545e-02 | val 3.7179e-02
Epoch 235: train 1.5559e-02 | val 3.7031e-02
Epoch 236: train 1.5558e-02 | val 3.7225e-02
Epoch 237: train 1.5580e-02 | val 3.6814e-02
Epoch 238: train 1.5554e-02 | val 3.6433e-02
Epoch 239: train 1.5600e-02 | val 3.6764e-02
Epoch 240: train 1.5605e-02 | val 3.6578e-02
Epoch 241: train 1.5594e-02 | val 3.6811e-02
Epoch 242: train 1.5541e-02 | val 3.6365e-02
Epoch 243: train 1.5575e-02 | val 3.6863e-02
Epoch 244: train 1.5563e-02 | val 3.6745e-02
Epoch 245: train 1.5572e-02 | val 3.6439e-02
Epoch 246: train 1.5544e-02 | val 3.6988e-02
Epoch 247: train 1.5539e-02 | val 3.6440e-02
Epoch 248: train 1.5527e-02 | val 3.6962e-02
Epoch 249: train 1.5524e-02 | val 3.6788e-02
Epoch 250: train 1.5534e-02 | val 3.6316e-02
Epoch 251: train 1.5547e-02 | val 3.6418e-02
Epoch 252: train 1.5523e-02 | val 3.6667e-02
Epoch 253: train 1.5510e-02 | val 3.6280e-02
Epoch 254: train 1.5520e-02 | val 3.6386e-02
Epoch 255: train 1.5552e-02 | val 3.6306e-02
Epoch 256: train 1.5536e-02 | val 3.6250e-02
Epoch 257: train 1.5538e-02 | val 3.6126e-02
Epoch 258: train 1.5547e-02 | val 3.6159e-02
Epoch 259: train 1.5542e-02 | val 3.5952e-02
Epoch 260: train 1.5554e-02 | val 3.6385e-02
Epoch 261: train 1.5510e-02 | val 3.6770e-02
Epoch 262: train 1.5554e-02 | val 3.6456e-02
Epoch 263: train 1.5540e-02 | val 3.6207e-02
Epoch 264: train 1.5548e-02 | val 3.6192e-02
Epoch 265: train 1.5552e-02 | val 3.6522e-02
Epoch 266: train 1.5524e-02 | val 3.6288e-02
Epoch 267: train 1.5524e-02 | val 3.6280e-02
Epoch 268: train 1.5528e-02 | val 3.6171e-02
Epoch 269: train 1.5522e-02 | val 3.6365e-02
Epoch 270: train 1.5516e-02 | val 3.6024e-02
Epoch 271: train 1.5534e-02 | val 3.6252e-02
Epoch 272: train 1.5506e-02 | val 3.6097e-02
Epoch 273: train 1.5522e-02 | val 3.6044e-02
Epoch 274: train 1.5545e-02 | val 3.5964e-02
Epoch 275: train 1.5500e-02 | val 3.6146e-02
Epoch 276: train 1.5484e-02 | val 3.5800e-02
Epoch 277: train 1.5477e-02 | val 3.5853e-02
Epoch 278: train 1.5492e-02 | val 3.6095e-02
Epoch 279: train 1.5504e-02 | val 3.5914e-02
Epoch 280: train 1.5513e-02 | val 3.6305e-02
Epoch 281: train 1.5523e-02 | val 3.6068e-02
Epoch 282: train 1.5557e-02 | val 3.6182e-02
Epoch 283: train 1.5547e-02 | val 3.6083e-02
Epoch 284: train 1.5585e-02 | val 3.6120e-02
Epoch 285: train 1.5526e-02 | val 3.5698e-02
Epoch 286: train 1.5524e-02 | val 3.5707e-02
Epoch 287: train 1.5539e-02 | val 3.5814e-02
Epoch 288: train 1.5542e-02 | val 3.5849e-02
Epoch 289: train 1.5503e-02 | val 3.6405e-02
Epoch 290: train 1.5532e-02 | val 3.6217e-02
