Train: 2400 Test: 600

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 192: train 1.4228e-02 | val 6.2167e-02
Epoch 193: train 1.4230e-02 | val 6.1690e-02
Epoch 194: train 1.4234e-02 | val 6.1926e-02
Epoch 195: train 1.4239e-02 | val 6.2048e-02
Epoch 196: train 1.4248e-02 | val 6.1948e-02
Epoch 197: train 1.4245e-02 | val 6.2596e-02
Epoch 198: train 1.4228e-02 | val 6.2818e-02
Epoch 199: train 1.4245e-02 | val 6.1938e-02
Epoch 200: train 1.4223e-02 | val 6.2170e-02
Epoch 201: train 1.4214e-02 | val 6.2923e-02
Epoch 202: train 1.4218e-02 | val 6.2518e-02
Epoch 203: train 1.4211e-02 | val 6.1121e-02
Epoch 204: train 1.4201e-02 | val 6.2143e-02
Epoch 205: train 1.4191e-02 | val 6.1470e-02
Epoch 206: train 1.4190e-02 | val 6.2586e-02
Epoch 207: train 1.4193e-02 | val 6.1129e-02
Epoch 208: train 1.4185e-02 | val 6.2726e-02
Epoch 209: train 1.4199e-02 | val 6.2216e-02
Epoch 210: train 1.4179e-02 | val 6.2201e-02
Epoch 211: train 1.4183e-02 | val 6.2389e-02
Epoch 212: train 1.4182e-02 | val 6.2520e-02
Epoch 213: train 1.4181e-02 | val 6.2445e-02
Epoch 214: train 1.4168e-02 | val 6.2258e-02
Epoch 215: train 1.4169e-02 | val 6.2140e-02
Epoch 216: train 1.4173e-02 | val 6.2404e-02
Epoch 217: train 1.4168e-02 | val 6.2116e-02
Epoch 218: train 1.4163e-02 | val 6.2150e-02
Epoch 219: train 1.4160e-02 | val 6.2836e-02
Epoch 220: train 1.4143e-02 | val 6.1873e-02
Epoch 221: train 1.4135e-02 | val 6.1811e-02
Epoch 222: train 1.4139e-02 | val 6.2475e-02
Epoch 223: train 1.4158e-02 | val 6.1540e-02
Epoch 224: train 1.4154e-02 | val 6.3127e-02
Epoch 225: train 1.4157e-02 | val 6.1848e-02
Epoch 226: train 1.4139e-02 | val 6.2868e-02
Epoch 227: train 1.4162e-02 | val 6.1990e-02
Epoch 228: train 1.4138e-02 | val 6.2955e-02
Epoch 229: train 1.4122e-02 | val 6.2297e-02
